sample_id,kingdom,tech_platform,coverage_hifi,syri_aln_coverage,gene_counts ,inv_count_total,inv_count_small_lt10kb,inv_count_medium_10kb_1Mb,inv_count_large_gt1Mb,inv_count_per_Gb,inv_len_mean_bp,inv_len_median_bp,sd_inv_length,q25_inv_length,q75_inv_length,min_inv_length,max_inv_length,mean_log10_inv_length,median_log10_inv_length,BUSCO_completeness,BUSCO_duplication,n_chromosomes,te_prop_genome,gene_density,asm_total_len_bp,asm_scaffold_N50_Mb,pi_genome_wide,indel_rate,inversions_with_tr,inversions_with_genes,breakpoint_genes,inversions_with_repeat
Helianthus_niveus,Viridiplantae,HiFi+Hi-C,,,324363,343,186,130,27,95.6294214,393208.1254,5741,1751452.098,801,131640.5,215,27612769,5.594622484,3.758987547,98.8,18.4,17,0.8223,0.106518,3586762264,211,0.005509108,0.278541193,295,176,86,331
Juglans_regia,Viridiplantae,HiFi+Hi-C,,,110034,21,9,12,0,39.83304219,49424,19378,87623.90752,9999,29999,320,349499,4.693937891,4.287308952,98.8,11.8,16,0.5328,0.308993,527200506,34,0.000951571,0.011808766,20,14,5,21
Lycorma_delicatula,Metazoa,HiFi+Hi-C,,,139077,237,220,7,10,110.4594297,182106.6667,1142,969128.3967,516,2861,203,8928192,5.260325845,3.057666104,93.6,2.5,12,0.5054,0.264704,2145584135,217,8.45E-05,0.004218437,192,66,56,227
Malus_coronaria,Viridiplantae,HiFi+Hi-C,,,146586,89,54,33,2,140.0755941,75180.05618,1722,197402.5075,729,31777,262,1185479,4.876102646,3.236033147,98.3,45.9,16,0.6165,0.254097,635371212,38,0.005097174,0.17233545,70,47,25,83
Malus_domestica,Viridiplantae,HiFi+Hi-C,,,129009,70,43,23,4,120.0071807,239443.4857,3329,837935.0213,753.75,49773,271,5906363,5.379203026,3.522313795,94.4,43.8,15,0.6065,0.241926,583298429,38,0.008273697,0.176974273,61,30,13,69
Malus_fusca,Viridiplantae,HiFi+Hi-C,,,134391,78,47,25,6,128.5596608,287247.9103,5342.5,762179.5846,706.5,69786.75,230,3586762,5.458256878,3.727744531,95.9,50.5,16,0.6058,0.253126,606722198,36,0.004457024,0.15938541,57,35,15,75
Malus_ioensis,Viridiplantae,HiFi+Hi-C,,,136623,72,42,24,6,123.892112,239216.4722,2525,709849.5278,677.75,69439.75,247,4140458,5.378791081,3.402261382,93.4,41.6,15,0.6074,0.261298,581150800,39,0.005286881,0.173535776,56,38,21,67
Misgurnus_anguillicaudatus,Metazoa,HiFi+Hi-C,,,159208,187,163,23,1,179.8312862,41581.40107,536,243649.7484,366.5,1263,227,3119410,4.618899119,2.72916479,91.2,0.9,23,0.5886,0.509186,1039863552,44,0.010434652,0.143003247,92,96,97,176
Nymphoides_indica,Viridiplantae,HiFi+Hi-C,,,97502,86,67,18,1,174.7167586,41475.80233,1206,148891.5584,630.5,7939.75,223,1159103,4.617794796,3.081347308,93.1,2.1,9,0.6259,0.414303,492225249,53,0.004326146,0.161436774,69,45,39,81
PRJEB42078,Metazoa,HiFi+Hi-C,,,71117,103,102,1,0,331.341756,5261.145631,773,43245.31718,526,1247.5,225,439813,3.721080323,2.888179494,95.7,0.7,3,0.2849,0.471515,310857289,86,0.012113212,0.064268824,76,38,42,87
PRJEB42081,Metazoa,HiFi+Hi-C,,,70253,135,132,2,1,189.0884078,42401.01481,491,452264.5669,309,1017,206,5249964,4.627376251,2.691081492,97.3,0.9,28,0.5448,0.340127,713951752,27,0.002926311,0.19016238,80,35,33,130
PRJEB42082,Metazoa,HiFi+Hi-C,,,60614,253,252,1,0,580.714324,1748.936759,468,17770.73723,327,760,216,283193,3.242774106,2.670245853,97,0.7,23,0.5054,0.440125,435670328,19,0.010279032,0.14300783,144,99,101,238
PRJEB42088,Metazoa,HiFi+Hi-C,,,69726,42,39,2,1,104.3354227,149657.881,838,768738.6183,394.25,1830.5,271,4925566,5.175099592,2.923244019,95.2,0.9,30,0.3277,0.449839,402547849,14,0.001584325,0.104284318,26,11,11,36
PRJEB42094,Metazoa,HiFi+Hi-C,,,60868,28,26,0,2,86.519451,195873.9286,624.5,715520.7013,383.5,1560.25,230,2810952,5.291976634,2.795532443,97.2,0.7,31,0.3002,0.517394,323626649,11,0.004344292,0.098856982,16,14,17,24
PRJEB42099,Metazoa,HiFi+Hi-C,,,75505,4,4,0,0,6.977713723,2572.5,1802,2545.606215,851.75,3522.75,548,6138,3.410355383,3.255754787,97.3,0.9,31,0.4139,0.376952,573253670,19,0.00011067,0.006947114,2,0,0,4
PRJEB42101,Metazoa,HiFi+Hi-C,,,67885,107,103,0,4,204.0734082,135178.3364,488,703622.8255,340,832.5,222,4723013,5.130907098,2.688419822,94.3,0.6,29,0.4355,0.346724,524321130,19,0.010768992,0.080187596,56,30,30,96
PRJEB42932,Metazoa,HiFi+Hi-C,,,66888,176,176,0,0,257.8915261,996.2102273,585,1101.309037,386,1130.75,214,9065,2.998350996,2.767155866,94,1.2,8,0.6363,0.26656,682457476,107,0.010455497,0.081286054,130,49,48,165
PRJEB42935,Metazoa,HiFi+Hi-C,,,64024,71,67,3,1,237.8198854,44144.12676,482,263477.2132,329.5,835.5,222,2045903,4.64487293,2.683047038,94.9,0.9,29,0.3181,0.505807,298545262,11,0.009253132,0.151474451,35,32,31,56
PRJEB42936,Metazoa,HiFi+Hi-C,,,67629,43,43,0,0,107.0210109,695.0697674,676,320.6956275,448.5,913.5,253,1712,2.842028399,2.829946696,97,0.6,29,0.298,0.443266,401790262,14,0.015250038,0.083662798,21,14,14,36
PRJEB42937,Metazoa,HiFi+Hi-C,,,71210,30,29,0,1,67.9068822,115256.1333,661,625371.7971,368.5,1237.25,227,3426373,5.061664046,2.820201459,96.7,0.6,31,0.4742,0.441338,441781437,15,0.000567011,0.038443769,14,12,15,29
PRJEB42938,Metazoa,HiFi+Hi-C,,,69484,113,106,0,7,207.4452257,230277.823,611,1043146.431,374,1181,202,8177657,5.362252115,2.78604121,95.5,0.6,30,0.5281,0.386073,544722105,21,0.007025225,0.095611279,46,33,33,107
PRJEB42941,Metazoa,HiFi+Hi-C,,,78518,97,94,0,3,194.7580232,94642.49485,491,538582.4969,350,857,222,3695750,4.97608618,2.691081492,96.7,1,31,0.4533,0.468726,498053936,17,0.009760542,0.080428518,69,37,36,87
PRJEB42942,Metazoa,HiFi+Hi-C,,,63311,135,132,1,2,357.2165893,49057.25926,740,369430.2273,411.5,938.5,199,3615027,4.690703281,2.86923172,95.7,0.3,31,0.3716,0.427168,377921978,13,0.007756804,0.095849893,60,48,46,129
PRJEB42943,Metazoa,HiFi+Hi-C,,,78236,123,120,1,2,210.5172869,63244.5122,475,466256.5273,361,895.5,199,4472146,4.801022847,2.67669361,96.9,2.1,30,0.4413,0.370449,584275058,20,0.011393872,0.075987675,60,38,38,103
PRJEB42944,Metazoa,HiFi+Hi-C,,,50547,77,77,0,0,207.6937826,742.4545455,470,844.6924003,344,695,213,5888,2.87066987,2.672097858,95.8,0.7,30,0.5074,0.370511,370738108,13,0.008762772,0.071703104,36,22,21,73
PRJEB43029,Metazoa,HiFi+Hi-C,,,65602,61,61,0,0,170.9868705,736.6065574,531,625.6383481,348,948,230,3875,2.867235581,2.725094521,93.8,0.1,29,0.3817,0.450689,356752538,13,0.008425567,0.108273613,37,27,28,54
PRJEB43519,Metazoa,HiFi+Hi-C,,,44800,15,8,2,5,68.19303532,1678637.733,3433,2946883.919,1559.5,2710787.5,400,10600136,6.224956981,3.535673803,92.6,1.8,10,0.2507,0.354153,219963812,21,0.004897362,0.064125241,15,6,4,15
PRJEB43520,Metazoa,HiFi+Hi-C,,,105027,91,83,5,3,99.24052069,229837.5385,714,1346536.266,348,1535,199,10375913,5.361420962,2.853698212,96.7,0.9,31,0.5894,0.360395,916964153,31,0.001006757,0.045427494,56,29,25,89
PRJEB43521,Metazoa,HiFi+Hi-C,,,69023,97,96,1,0,168.5544894,762.0927835,436,1395.971817,313,699,201,13118,2.882007849,2.639486489,94.5,0.4,29,0.4542,0.377928,575481557,21,0.008036882,0.083119994,47,27,28,77
PRJEB43522,Metazoa,HiFi+Hi-C,,,65458,92,91,0,1,220.1571877,31713.93478,535.5,297387.8258,406,805.25,214,2853147,4.501250129,2.728759475,96.6,0.9,24,0.4035,0.420324,417883245,18,0.012259901,0.110347863,44,29,30,82
PRJEB43523,Metazoa,HiFi+Hi-C,,,59231,104,102,0,2,214.2859917,62394.51923,537,477254.3558,351.25,1000.25,211,4493406,4.795146443,2.729974286,93.8,0.6,43,0.5761,0.398045,485332705,11,0.008837305,0.144510622,66,38,38,104
PRJEB43525,Metazoa,HiFi+Hi-C,,,60851,102,102,0,0,214.2971648,640.6960784,506.5,466.4879057,362.75,759,220,3203,2.806652066,2.70457945,97.3,0.9,29,0.497,0.386687,475974566,17,0.005784936,0.067050616,38,29,29,93
PRJEB43526,Metazoa,HiFi+Hi-C,,,53988,32,32,0,0,110.3600919,1208.59375,490.5,1491.806955,327,1462,205,6060,3.082280344,2.690639012,97.9,0.6,31,0.3205,0.464428,289959889,10,0.004618,0.077328681,19,8,7,30
PRJEB43529,Metazoa,HiFi+Hi-C,,,39423,29,18,6,5,100.1790185,612596.8276,827,1364603.519,581,152972,271,5439616,5.787174743,2.91750551,98.2,0.9,50,0.2806,0.252246,289481774,17,0.003763337,0.036467644,21,11,5,28
PRJEB43735,Metazoa,HiFi+Hi-C,,,66867,39,39,0,0,102.9157735,883.7692308,435,1267.743737,267.5,909.5,201,6964,2.946338877,2.638489257,97.8,0.3,31,0.2655,0.453158,378950657,13,0.007672545,0.083319486,21,11,12,32
PRJEB43736,Metazoa,HiFi+Hi-C,,,607,4,0,2,2,19.82685269,1300497.5,1184465,1416203.316,131077,2353885.5,20836,2812224,6.114109522,6.073522232,97.8,0.1,28,0.2061,0.065023,201746594,9,0.001917953,0.016640379,4,3,2,2
PRJEB43739,Metazoa,HiFi+Hi-C,,,56712,69,57,5,7,190.5219115,329162,1001,1068615.656,474,3258,202,5757616,5.517409692,3.000434077,96.6,3.9,13,0.4763,0.363471,362163068,44,0.003819369,0.099352297,56,24,21,67
PRJEB43774,Metazoa,HiFi+Hi-C,,,104812,29,26,3,0,49.44178781,28699,1752,96853.26475,587,2999,244,445558,4.457866764,3.243534102,99,0.3,24,0.2233,0.530417,586548369,25,0.002416179,0.030021114,20,13,12,28
PRJEB43776,Metazoa,HiFi+Hi-C,,,69066,58,57,0,1,160.6870353,41342.65517,519,309317.1586,332.5,736.75,205,2356400,4.616398365,2.715167358,95.8,0.4,30,0.2682,0.448129,360950091,13,0.012078908,0.098513153,31,15,15,48
PRJEB43777,Metazoa,HiFi+Hi-C,,,68291,120,120,0,0,297.0538305,699.4916667,452.5,716.2201201,347.75,727.75,201,5259,2.844782545,2.655618584,96.7,0.7,31,0.443,0.450197,403967186,14,0.003773518,0.092575443,73,35,36,117
PRJEB43778,Metazoa,HiFi+Hi-C,,,61576,102,98,1,3,216.4956358,91520.93137,565,520923.1013,352.25,1000.5,215,3838988,4.961520431,2.752048448,94.2,0.6,28,0.5185,0.379428,471141137,18,0.005860942,0.130384506,62,33,32,96
PRJEB43780,Metazoa,HiFi+Hi-C,,,63287,101,100,0,1,234.348637,23259.23762,591,224697.826,368,1280,199,2259074,4.366595476,2.771587481,94.3,0.6,27,0.4558,0.390803,430981811,16,0.007722404,0.119156326,81,37,36,98
PRJEB43781,Metazoa,HiFi+Hi-C,,,72294,271,269,2,0,433.7348693,1021.856089,455,5255.366664,348,828,204,86161,3.009389737,2.658011397,97,0.9,23,0.6359,0.405426,624805657,26,0.006502605,0.256881583,174,85,86,266
PRJEB43782,Metazoa,HiFi+Hi-C,,,67869,155,155,0,0,216.9147402,886.7290323,500,1015.693387,339.5,870.5,199,6371,2.947790928,2.698970004,94.9,1.6,23,0.548,0.384578,714566469,26,0.00280547,0.068514595,73,42,42,153
PRJEB43783,Metazoa,HiFi+Hi-C,,,77575,174,170,2,2,331.7250192,46560.46552,479,407924.0829,344.25,749.75,199,4153626,4.668017314,2.680335513,96.7,1.2,29,0.4342,0.438805,524530831,18,0.00831403,0.205665124,94,63,64,160
PRJEB43784,Metazoa,HiFi+Hi-C,,,67816,255,242,10,3,374.731854,31578.89412,625,288808.0167,397,1249.5,201,3584802,4.499396917,2.795880017,96.9,1,48,0.5934,0.356088,680486586,14,0.007892389,0.075035156,139,59,55,243
PRJEB43785,Metazoa,HiFi+Hi-C,,,82599,155,153,1,1,252.0568387,26742.98065,469,323994.3287,314.5,674,203,4034391,4.42720981,2.671172843,95.7,0.9,31,0.4943,0.38037,614940665,21,0.009096528,0.143238365,89,38,38,137
PRJEB43786,Metazoa,HiFi+Hi-C,,,62120,50,45,1,4,146.0187257,403239.5,444,1452755.911,342.75,1005.5,235,6957802,5.605563068,2.64738297,94.9,0.6,28,0.3034,0.446843,342421835,13,0.008608969,0.082275119,32,25,24,43
PRJEB43789,Metazoa,HiFi+Hi-C,,,80056,157,152,3,2,278.9526298,36788.4586,535,309935.3573,313,1288,202,2960534,4.565711592,2.728353782,96.1,0.7,30,0.4564,0.421623,562819573,20,0.00289607,0.190762781,90,60,61,144
PRJEB43790,Metazoa,HiFi+Hi-C,,,44854,153,151,1,1,311.5944046,30977.46405,481,371489.374,355,627,206,4595629,4.491045862,2.682145076,94.5,0.9,5,0.4173,0.192258,491022938,94,0.015027432,0.066936748,118,14,14,143
PRJEB43791,Metazoa,HiFi+Hi-C,,,32300,5,2,1,2,26.77332804,1054491.2,425999,1556960.183,3344,1126604,929,3715580,6.02304296,5.62940858,97.9,0.6,26,0.1999,0.28698,186753025,8,0.001461172,0.014433054,5,4,4,5
PRJEB43814,Metazoa,HiFi+Hi-C,,,56841,58,58,0,0,129.6303755,585.2241379,424,479.3729473,322.5,666,226,2435,2.767322231,2.627365857,90.8,0.7,26,0.3986,0.333927,447425997,17,0.016027026,0.063573654,26,11,11,40
PRJEB44824,Metazoa,HiFi+Hi-C,,,54216,21,21,0,0,77.20162576,857.3333333,448,1507.905379,291,683,232,7264,2.93314971,2.651278014,97,0.7,32,0.2827,0.47111,272014997,9,0.004900812,0.047048764,11,10,10,20
PRJEB44825,Metazoa,HiFi+Hi-C,,,64487,77,75,2,0,231.3979851,18964.5974,490,115493.1884,372,691,223,852526,4.277943628,2.69019608,93.3,1.3,28,0.4451,0.522743,332760028,12,0.010590162,0.124907465,46,35,35,70
PRJEB44826,Metazoa,HiFi+Hi-C,,,38659,13,12,1,0,61.5275689,42689.53846,494,150865.3198,411,1009,224,544793,4.630321459,2.693726949,92.1,0.4,11,0.1492,0.3353,211287399,20,0.005010408,0.033073253,10,3,2,12
PRJEB44828,Metazoa,HiFi+Hi-C,,,86852,121,119,0,2,177.1567906,50989.78512,624,433228.0974,397,930,219,4524686,4.707483182,2.79518459,96.9,1.3,31,0.5664,0.419272,683010793,24,0.003341188,0.045248411,70,39,39,119
PRJEB44829,Metazoa,HiFi+Hi-C,,,65503,18,18,0,0,45.10712028,1610,876.5,1894.394455,385.5,1277,211,6539,3.206825876,2.94275192,96.7,0.6,31,0.396,0.391741,399050081,14,0.000364986,0.022388139,14,5,5,18
PRJEB44956,Viridiplantae,HiFi+Hi-C,,,17100,1,0,1,0,1.452828978,70066,70066,,70066,70066,70066,70066,4.845507325,4.845507325,82.7,3.3,10,0.7087,0.021817,688312262,66,2.36E-06,0.009943624,1,0,0,1
PRJEB44975,Metazoa,HiFi+Hi-C,,,65404,121,121,0,0,278.4635589,642.7768595,424,634.8926351,288,705,202,4534,2.808060233,2.627365857,96.4,0.4,30,0.5141,0.404376,434527234,15,0.005027047,0.141246117,75,30,30,120
PRJEB44976,Metazoa,HiFi+Hi-C,,,38848,167,160,5,2,440.4575702,38096.25749,869,249092.6925,541,1920,214,2291811,4.580882313,2.939019776,89.4,0.9,6,0.4254,0.297775,379151163,69,0.008947701,0.04827287,118,30,26,164
PRJEB44977,Metazoa,HiFi+Hi-C,,,80276,106,104,1,1,116.5506936,13442.32075,1503.5,115437.2209,637.75,2794,219,1190075,4.128474254,3.177103432,94.8,0.9,5,0.5516,0.292818,909475497,162,0.000647859,0.030003289,66,26,24,102
PRJEB44978,Metazoa,HiFi+Hi-C,,,66194,109,107,1,1,219.096932,18559.33028,533,183529.838,351,1045,199,1916927,4.2685623,2.726727209,92.3,1.2,28,0.4751,0.413511,497496697,18,0.01022527,0.059803796,51,34,35,107
PRJEB44979,Metazoa,HiFi+Hi-C,,,61136,56,55,0,1,140.1117296,35938.21429,603,262057.3897,359.25,1091.75,209,1961962,4.555556494,2.780317312,94.6,0.7,15,0.432,0.429598,399681027,32,0.008118923,0.123691446,23,19,17,53
PRJEB45098,Metazoa,HiFi+Hi-C,,,74898,78,64,9,5,150.954319,147833.2564,656.5,416785.1008,343,2228.25,222,2144470,5.169772143,2.81723473,98.2,0.1,22,0.4609,0.468564,516712609,25,0.013088217,0.06956937,54,31,25,74
PRJEB45099,Metazoa,HiFi+Hi-C,,,74734,50,47,2,1,101.9608019,88397,798,478423.83,441.25,1662.5,231,3312704,4.946437526,2.902002891,96,0.9,31,0.5001,0.411265,490384531,17,0.001182034,0.140081622,32,13,13,49
PRJEB45100,Metazoa,HiFi+Hi-C,,,136583,22,16,6,0,35.92812056,100510.5,1291,257184.3884,633.5,26642.25,207,907103,5.002211433,3.110926242,98.5,0.4,21,0.2427,0.59691,612333728,29,0.003090324,0.034979573,16,11,11,21
PRJEB45101,Metazoa,HiFi+Hi-C,,,48417,144,142,1,1,371.3867723,13594.5,573,138986.4093,385.75,1406,209,1661973,4.133363239,2.758154622,90.9,2.1,17,0.602,0.378515,387735942,22,0.004805797,0.105699544,62,43,43,111
PRJEB45103,Metazoa,HiFi+Hi-C,,,86493,83,76,5,2,154.9640562,61447.55422,591,320019.4882,398.5,1391,212,2096264,4.788504601,2.771587481,95.1,2.1,10,0.5545,0.432126,535608076,57,0.006330054,0.15201534,53,38,38,81
PRJEB45104,Metazoa,HiFi+Hi-C,,,54693,51,51,0,0,157.2491172,1088.137255,625,1272.505985,398.5,1257.5,208,7367,3.03668368,2.795880017,96.3,1.9,5,#N/A,0.467543,324326145,71,0.010000006,0.054123817,41,27,33,0
PRJEB45105,Metazoa,HiFi+Hi-C,,,39425,14,8,5,1,45.83604691,240124.5,6188,813263.5283,1280.5,53467,424,3063214,5.380436474,3.791550305,98.2,0.7,50,0.323,0.242632,305436462,19,0.000186083,0.016800446,9,2,0,14
PRJEB45106,Metazoa,HiFi+Hi-C,,,38549,2,0,0,2,7.210123917,5295938,5295938,688635.7378,5052468.5,5539407.5,4808999,5782877,6.723942892,6.723942892,98.4,0.3,26,0.2677,0.252072,277387743,12,7.11E-06,0.004470186,2,2,0,2
PRJEB45107,Metazoa,HiFi+Hi-C,,,67304,92,89,2,1,173.5831122,17973.55435,548.5,154767.7238,383,938.75,222,1483916,4.254633969,2.739176632,97.3,1.2,31,0.4238,0.348476,530005476,18,0.005242776,0.069722233,46,26,24,85
PRJEB45108,Metazoa,HiFi+Hi-C,,,89180,257,255,2,0,400.2126247,1201.571984,526,7546.048446,343,877,204,120709,3.079749794,2.720985744,96.9,0.6,31,0.5372,0.446694,642158653,22,0.009221759,0.123009411,137,85,88,241
PRJEB45111,Metazoa,HiFi+Hi-C,,,69362,171,168,2,1,358.1512744,24897.90643,483,313179.627,373.5,775.5,212,4096144,4.396162831,2.683947131,97.5,2.1,30,0.4269,0.444858,477451882,17,0.01207139,0.082167621,64,51,48,160
PRJEB45112,Metazoa,HiFi+Hi-C,,,65171,84,82,1,1,144.3808296,30106.60714,548.5,266607.9041,341,1338.5,206,2444490,4.478661816,2.739176632,97,0.4,31,0.5089,0.368784,581794690,19,0.005777376,0.073760296,46,27,27,82
PRJEB45113,Metazoa,HiFi+Hi-C,,,65576,143,139,0,4,242.6468424,83746.83916,593,515157.8398,359.5,1298.5,209,4394092,4.922968425,2.773054693,95.7,0.7,45,0.6463,0.352934,589333859,12,0.005357122,0.127155384,105,43,44,140
PRJEB45114,Metazoa,HiFi+Hi-C,,,66386,54,48,2,4,133.6773717,169424.2593,641,582456.9777,354.75,2675.5,236,3083882,5.228975596,2.80685803,96.6,1.8,30,0.394,0.449149,403957673,15,0.004419441,0.078537369,29,20,17,49
PRJEB45134,Metazoa,HiFi+Hi-C,,,726887,103,101,1,1,39.73540522,149480.6796,1270,1487375.434,627,2562,202,15097769,5.174585064,3.103803721,98.8,10.1,32,0.3649,0.548254,2592146712,85,0.002671293,0.013172216,78,76,101,98
PRJEB45135,Metazoa,HiFi+Hi-C,,,53403,27,23,3,1,103.4356856,49722.44444,1248,231017.2574,633,2143.5,247,1204072,4.696552471,3.096214585,83.5,0.6,9,0.5087,0.612438,261031769,29,0.004294269,0.148005371,13,8,9,26
PRJEB45137,Metazoa,HiFi+Hi-C,,,88608,206,196,3,7,262.2312573,128912.2816,723.5,744038.9318,440.5,1414.25,204,6895966,5.110294295,2.859438535,93.9,1.9,5,0.6431,0.33073,785566153,193,0.008803323,0.079356513,120,54,48,202
PRJEB45140,Metazoa,HiFi+Hi-C,,,50480,13,12,1,0,69.31119515,3168.769231,1381,5151.830405,540,3680,365,19502,3.500890612,3.140193679,95.1,0.7,5,0.1614,0.464068,187559888,37,0.005915312,0.039815007,6,9,8,10
PRJEB45141,Metazoa,HiFi+Hi-C,,,81776,195,190,4,1,255.1118325,41329.91282,463,503269.3435,338.5,687.5,201,6978849,4.616264489,2.665580991,94.3,0.9,29,0.564,0.348298,764370661,27,0.013471646,0.126052087,123,57,55,182
PRJEB45142,Metazoa,HiFi+Hi-C,,,75106,124,117,4,3,223.2677881,65173.96774,495.5,360824.0016,308.75,843,203,2836267,4.814074161,2.695043659,91.1,0.9,27,0.5408,0.430917,555386879,22,0.005574527,0.220476807,73,43,41,116
PRJEB45143,Metazoa,HiFi+Hi-C,,,34049,33,31,0,2,125.7981862,152117.7576,692,611527.0179,351,988,229,2873364,5.182179915,2.840106094,91.1,0.4,8,0.3394,0.276518,262324927,42,0.002360695,0.023588903,18,6,5,31
PRJEB45144,Metazoa,HiFi+Hi-C,,,56416,36,25,9,2,194.1962823,173766.3889,1186,529869.9547,464.5,20828.5,207,2963415,5.239965776,3.074084689,96.6,0.9,48,0.3278,0.471644,185379450,5,0.005196808,0.051279387,28,20,18,32
PRJEB45147,Metazoa,HiFi+Hi-C,,,97103,253,246,2,5,301.5688039,60834.21344,629,484556.6796,360,1275,206,6190179,4.784147897,2.798650645,96.3,3,31,0.6173,0.435057,838946193,29,0.005220482,0.153016039,128,96,100,246
PRJEB45148,Metazoa,HiFi+Hi-C,,,79700,61,54,2,5,156.2821327,368460.2623,598,1355247.217,406,1190,202,8329400,5.566390657,2.776701184,98.1,0.3,19,0.3591,0.432213,390319731,21,0.009753932,0.109522017,34,17,16,54
PRJEB45149,Metazoa,HiFi+Hi-C,,,75306,118,110,5,3,217.203878,102020.1441,720,561385.1105,511,1346,205,4705491,5.008685932,2.857332496,93.6,1.3,4,0.5413,0.34523,543268385,153,0.008133762,0.11924657,92,40,38,106
